ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2013;891,9;780,4;783,3;1.014,7;983,7;943,0;929,4;834,8;635,8;962,2;721,5;765,0;10.245,6
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2014;804,6;678,4;710,7;677,1;863,1;829,3;1.496,2;890,6;767,1;837,1;740,1;678,8;9.972,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2015;301,4;702,7;609,2;891,2;819,5;977,1;880,5;792,9;793,1;819,8;910,5;1.008,5;9.506,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2016;1.087,9;814,9;977,0;860,5;1.097,0;846,0;1.026,0;1.401,4;863,5;593,6;730,0;736,6;11.034,4
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2017;722,5;645,8;801,7;785,6;840,2;600,6;1.062,7;963,1;904,5;1.011,6;870,2;990,5;10.198,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2018;873,1;1.009,9;896,1;956,4;906,9;824,0;999,4;866,0;917,1;971,5;890,8;745,4;10.856,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2019;813,9;958,6;894,6;818,8;840,6;803,9;762,0;980,6;702,7;735,3;457,3;764,9;9.533,2
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2020;677,8;612,2;586,9;185,2;245,5;224,6;376,4;335,4;530,5;740,6;589,8;710,9;5.815,9
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2021;323,8;194,4;318,0;497,1;645,1;497,3;531,5;763,7;691,5;450,0;563,7;500,0;5.976,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2022;562,0;450,0;623,2;588,2;597,8;517,6;507,4;705,3;610,0;630,9;635,0;875,5;7.303,0
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2023;1.230,0;650,4;581,8;406,2;530,1;650,0;540,0;550,0;501,0;556,0;545,0;510,0;7.250,5
PROCESAMIENTO DE ACEITES Y GRASAS;Aceite vegetal;2024;607,7;463,5;545,9;628,3;726,2;702,0;612,0;570,0;630,0;620,0;530,0;0,0;6.635,6
PROCESAMIENTO DE ACEITES Y GRASAS;Manteca;2011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2010;527,1;622,7;559,0;599,6;937,0;825,6;992,1;990,6;1.200,5;1.131,2;1.174,3;827,9;10.387,6
