ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DEL CACAO;Licor de cacao;2020;424,2;449,9;239,8;110,5;267,1;395,3;782,5;446,0;482,8;559,2;615,6;473,8;5246,6
PROCESAMIENTO DEL CACAO;Licor de cacao;2021;270,3;184,8;145,1;346,1;278,9;503,6;583,6;745,2;432,2;528,3;718,9;665,3;5402,3
PROCESAMIENTO DEL CACAO;Licor de cacao;2022;384,8;389,8;624,6;514,5;548,2;300,2;431,7;452,4;759,2;1157,2;1128,6;1020,9;7712,1
PROCESAMIENTO DEL CACAO;Licor de cacao;2023;781,9;641,6;443,1;427,9;798,1;730,8;892,2;969,0;1020,2;708,1;139,5;529,3;8081,7
PROCESAMIENTO DEL CACAO;Licor de cacao;2024;1069,3;925,4;234,6;246,7;648,2;852,0;861,6;825,6;912,7;857,2;676,0;0,0;8109,2
PROCESAMIENTO DEL CACAO;Manteca de cacao;2010;206,8;169,7;179,7;950,7;694,6;821,3;419,4;428,2;290,7;37,5;477,7;649,3;5325,4
PROCESAMIENTO DEL CACAO;Manteca de cacao;2011;597,1;369,3;328,4;432,8;268,2;642,7;295,4;629,4;392,3;265,3;132,8;387,6;4741,3
PROCESAMIENTO DEL CACAO;Manteca de cacao;2012;204,7;253,3;417,1;494,9;1005,8;310,6;815,2;828,8;774,5;735,4;897,6;410,3;7148,1
PROCESAMIENTO DEL CACAO;Manteca de cacao;2013;620,6;363,9;275,2;339,1;516,1;746,6;606,5;733,4;828,0;729,3;690,4;617,1;7066,0
PROCESAMIENTO DEL CACAO;Manteca de cacao;2014;733,1;681,0;385,6;351,3;241,0;288,9;486,5;717,8;473,4;444,3;515,8;494,0;5812,6
PROCESAMIENTO DEL CACAO;Manteca de cacao;2015;260,0;92,6;343,6;333,6;279,9;578,5;559,5;455,6;432,4;263,6;752,5;515,4;4867,2
PROCESAMIENTO DEL CACAO;Manteca de cacao;2016;480,0;195,6;640,1;587,3;398,4;487,3;350,3;930,0;823,0;726,2;688,8;550,7;6857,6
PROCESAMIENTO DEL CACAO;Manteca de cacao;2017;876,6;644,6;127,7;241,4;684,5;585,2;585,5;764,8;1190,4;651,0;1221,4;1108,1;8681,2
PROCESAMIENTO DEL CACAO;Manteca de cacao;2018;1028,5;1253,4;1004,8;891,8;1466,9;734,4;340,8;1035,7;954,5;1187,7;515,5;619,9;11033,8
PROCESAMIENTO DEL CACAO;Manteca de cacao;2019;948,7;1042,6;1173,5;1284,6;1322,0;989,2;1347,3;1420,0;1357,1;1471,4;1441,5;1399,6;15197,5
PROCESAMIENTO DEL CACAO;Manteca de cacao;2020;940,3;638,3;752,8;554,8;512,9;807,8;891,2;1343,8;1195,4;1020,7;1064,3;946,9;10669,0
PROCESAMIENTO DEL CACAO;Manteca de cacao;2021;1224,8;956,7;1405,6;1100,7;1198,6;1264,9;1263,2;1386,6;1101,8;1266,9;1544,7;1374,4;15088,9
PROCESAMIENTO DEL CACAO;Manteca de cacao;2022;560,1;413,2;1442,7;1177,9;1271,6;522,7;1259,1;458,9;740,0;607,8;1489,6;1082,0;11025,5
PROCESAMIENTO DEL CACAO;Manteca de cacao;2023;1294,2;967,8;1554,9;1336,8;962,6;1292,5;1837,7;1520,5;1461,2;1924,8;305,4;1164,9;15623,3
PROCESAMIENTO DEL CACAO;Manteca de cacao;2024;2264,0;1175,3;1660,0;1433,6;1630,4;1807,6;1862,3;1645,4;1878,9;1737,0;2307,9;0,0;19402,4
PROCESAMIENTO DEL CACAO;Polvo de cacao;2011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2013;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2015;0,0;0,0;43,6;359,2;273,3;0,0;220,3;355,1;301,9;69,6;321,6;295,6;2240,3
PROCESAMIENTO DEL CACAO;Polvo de cacao;2016;320,4;151,8;389,2;378,1;301,3;439,1;487,9;458,4;503,3;603,0;545,6;367,0;4945,2
PROCESAMIENTO DEL CACAO;Polvo de cacao;2017;408,1;359,1;34,8;288,5;476,1;402,6;530,5;763,1;465,9;833,3;590,7;377,3;5530,1
PROCESAMIENTO DEL CACAO;Polvo de cacao;2018;481,3;425,0;535,5;689,3;522,8;601,3;651,9;580,9;807,9;597,0;475,8;609,2;6977,8
PROCESAMIENTO DEL CACAO;Polvo de cacao;2019;749,8;639,7;692,0;541,9;548,2;546,8;708,2;791,7;847,9;785,5;802,2;574,0;8228,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2020;895,6;884,7;917,5;606,5;647,8;302,8;749,1;754,2;635,0;1374,3;1154,0;1245,5;10167,1
PROCESAMIENTO DEL CACAO;Polvo de cacao;2021;987,6;800,7;1146,1;940,3;722,4;700,5;724,6;1087,0;713,8;921,2;895,3;928,5;10568,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2022;1164,1;922,2;636,5;862,9;625,5;707,7;1246,0;1322,4;817,8;997,4;653,8;853,4;10809,6
PROCESAMIENTO DEL CACAO;Polvo de cacao;2023;706,0;802,4;823,9;831,5;925,7;905,8;991,7;1138,7;1271,7;983,2;182,2;652,8;10215,7
PROCESAMIENTO DEL CACAO;Polvo de cacao;2024;561,9;946,6;929,2;1152,5;1338,7;696,6;1699,3;2135,2;1677,9;2026,3;1520,7;0,0;14684,8
PROCESAMIENTO DEL CACAO;Torta de cacao;2010;118,2;247,6;160,4;93,8;100,0;60,0;40,0;20,1;30,1;70,2;0,0;0,0;940,3
